,Location,Scene,Text,Speaker,Season
0,The apartment,,Again I’m right here.,Leonard,3
1,The apartment,,Fine. The record shall so reflect. Now getting back to the problem at hand what to do with a washed-up experimental physicist.,Sheldon,5
2,The room in the basement," Sheldon enters, takes out a box, takes a beanbag from the box, then starts playing keepie-uppie,",One two three four five six seven eight… Drat. I’m never going to get to forty-three again. One two three four… Rats.,Sheldon,6
3,Sheldon and Amy’s bedroom,,I’m not sure. Earlier tonight things began organically and now it’s feeling forced like all the Pirates of the Caribbean sequels.,Sheldon,10
4,A cinema,,He’s finding the acoustic sweet spot.,Leonard,2
5,The apartment,,,Howard,8
6,Webcam conversation between Bernadette’s Office and the International Space Station,,Uh yeah last night. He kept making me drop pencils for him. I got uncomfortable.  che-ee-ee-ese.,Howard,6
7,Penny’s bedroom,,What?,Penny,5
8,The apartment,,There was a flier on the bulletin board at the university. Roommate wanted. Whistlers need not apply.,Leonard,2
9,The same," later,",Oh. A small human wreaks havoc on his wife’s genitals and he gets time off.,Sheldon,10
10,The apartment," The guys are playing a board game and eating Chinese food,",Can we please change the subject.,Leonard,1
11,The escape room,,Here it is. There’s a black light.,Leonard,8
12,The apartment,,He would get his own place.,Penny,10
13,The cafeteria,,You okay?,Leonard,7
14,The hallway," Howard knocks on Penny’s door with his bow,",Kurt!,Penny,1
15,The foyer,,Yeah but Sheldon and Amy were having date night and they don’t need me there to make it awkward. They have each other for that. So how was school?,Leonard,7
16,The apartment,,Okay well goodnight. ,Leonard,2
17,The cafeteria,,Positive.,Leonard,5
18,The Physics Bowl,,A sigma particle.,Sheldon,1
19,The apartment,,He’s not wrong. It was your crackpot idea that he deserves love.,Sheldon,10
20,The apartment," The three guys are still holding the ring, Howard is on the phone,",Well if you want privacy let go of the ring. I’m so glad we came to this gentile strip club! Howard here’s more bacon to tuck into the shiksa’s G-string!,Raj,3
21,The cafeteria,,That does it. I’m getting uranium.,Sheldon,4
22,The apartment,,What are you doing?,Raj,7
23,The apartment,,Oh now I’m a child? Well at least I’m not an idiot anymore!,Penny,3
24,The apartment,,Normally I’d feel the same way. But based on everything I’ve observed about us I can’t help but speculate we’d be very good together.,Sheldon,2
25,The apartment,,Definitely.,Penny,9
26,The memorial,,I’m just gonna go home and let my work speak for itself.,Leonard,6
27,The university cafeteria," Sheldon enters,",Oh Leonard there you are I’m ready to go home.,Sheldon,2
28,The comic book store,,,Howard,9
29,The store,,You have no idea how much you inconvenience the lives of everyone around you. It’s exhausting.,Leonard,8
30,The apartment," The guys are playing Boggle, There is a Klingon dictionary on the table,",Yeah I guess.,Penny,2
31,Moments later,,As it turns out she was a North Korean spy. Luckily Sheldon drove her out before I revealed anything important. Which I’m not saying I would have.,Leonard,3
32,The living room," Leonard is asleep on the couch,",I have paperwork that says differently.,Sheldon,4
33,Lobby of the apartment building," Howard, Raj, Sheldon and Leonard enter in combat gear, covered in blue paint,",We’re really more….,Leonard,1
34,The next morning,,I wonder why she didn’t say good-bye.,Leonard,3
35,Penny’s car,,Because he’s not like us Penny. We’re dreamers.,Sheldon,7
36,The apartment,,No I was in India it was humid and smelled funny.,Howard,9
37,The apartment,,You just wave your arms a little and they fly away it’s not…,Leonard,10
38,Penny’s apartment,,Sweetie I’m so sorry. I wish there was something I could do to make you feel better.,Penny,7
