id,gardner_et_al_2010_cat,standard_ne,iv,rdd
29,17--20--,1,0,0
289,13--,1,0,0
411,13--,1,0,0
710,13--,0,1,0
750,13--,0,1,0
778,13--,0,1,0
780,20--,0,1,0
782,20--,1,0,0
885,1--,1,0,0
1029,13--,1,0,0
1054,1--,1,0,0
1069,13--,0,1,0
1077,13--,1,0,0
1081,20--,0,1,1
1082,20--,0,0,1
1184,20--24--,0,1,0
1439,20--15--,1,0,0
1654,22--,0,0,1
1848,13--,0,1,0
1859,13--1--24--,1,0,0
1976,22--24--20--,1,0,0
2015,20--,0,0,1
2147,22--,1,0,0
2162,13--,1,0,0
2371,17--,0,1,0
2377,6--,0,1,0
2439,15--20--,1,0,0
2575,13--,0,1,0
2597,13--15--,0,1,0
2615,20--,0,0,1
3005,13--,1,0,0
3053,13--,0,1,0
3206,22--,1,0,0
3208,13--15--,0,1,0
3213,13--,0,1,0
3257,20--,1,0,0
3446,13--,1,0,0
3487,15--,1,0,0
3510,13--,0,1,0
3590,13--,1,0,0
3593,13--15--,0,1,0
3725,13--5--,1,0,0
3748,13--11--,0,1,0
3811,13--,1,0,0
3909,13--,1,0,0
4034,15--5--,1,0,0
4075,20--,1,0,0
4257,20--,0,1,0
4261,13--,1,0,0
4481,13--15--,0,1,0
4739,13--15--,0,1,0
4797,20--13--,1,0,0
4883,13--,1,0,0
4942,13--,1,0,0
4991,13--15--,0,1,0
5013,13--15--,0,1,0
5027,13--,0,1,0
5059,13--15--,0,1,0
5101,4--,0,1,0
5111,5--20--,1,0,0
5141,13--5--,0,1,0
5245,20--,0,1,0
5250,13--15--,0,1,0
5365,13--,1,0,0
5394,15--20--,1,0,0
5402,4--,0,1,0
5588,13--,0,1,0
5636,13--15--,0,1,0
5657,13--5--,0,1,0
5703,13--,1,0,0
5757,20--,1,0,0
5783,13--,0,1,0
5998,20--,1,0,0
6041,13--,1,0,0
6061,13--15--,0,1,0
6095,20--,0,0,1
6300,20--,1,1,0
6361,13--,0,1,0
6386,13--14--,0,1,0
6567,20--,1,0,0
6708,17--,0,1,0
6755,13--,0,1,0
10000,13--15--,1,0,0
10001,20--4--,0,0,1
10002,13--,0,1,0
10003,10--5--,1,0,0
10004,17--,0,0,1
