id,authors,title,journal,year,abstract,keywords,link
1280,"Watts L.L., Steele L.M., Mumford M.D.",Making sense of pragmatic and charismatic leadership stories: Effects on vision formation,Leadership Quarterly,2019,"For some time, it has been argued that stories articulated by leaders are an important vehicle for exercising influence, but stories of leadership might also serve as a means for developing leadership potential. One critical activity involved in leadership is vision formation, which involves constructing and communicating a future state that guides followers in “making sense” of complex organizational events. Like leader visions, analyzing stories also, by nature, evokes sensemaking processes. As a result, analyzing stories of leadership may provide a natural means for practicing the art of sensemaking. In the present investigation, undergraduates were asked to read six short stories about incidents of either pragmatic or charismatic leadership in business settings. After reading each story, questions were asked to encourage sensemaking of story events, causes, and emotions. Participants were subsequently asked to formulate visions for leading a secondary school –– a transfer task. It was found that stronger visions were produced when participants were asked to analyze both story events and the causes of these events. The implications of these findings for the use of leadership stories in leader development initiatives are discussed. © 2018 Elsevier Inc.",Leader development; Leadership; Sensemaking; Stories; Vision,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053359999&doi=10.1016%2fj.leaqua.2018.09.003&partnerID=40&md5=466fb053882b5828c45ab0fbf5f9e58e
1279,"Watkins T., Fehr R., He W.",Whatever it takes: Leaders' perceptions of abusive supervision instrumentality,Leadership Quarterly,2019,"In this paper we examine how leaders' perceptions of the instrumental benefits of abusive supervision shape their tendencies to abuse their employees. We posit that leaders who believe abuse has a positive impact on employee performance will engage in more abusive supervision than their peers, with downstream implications for employees' counterproductive work behaviors. Furthermore, we position leader empathic concern as a boundary condition, whereby empathic concern mitigates the effects of leaders' perceptions of abusive supervision's instrumentality. Data from two studies employing both experimental and field survey designs offer convergent support for our hypotheses. Overall, our findings challenge the prevailing view that abusive supervision is primarily motivated by a desire to aggress, instead demonstrating that leaders sometimes abuse their employees in the pursuit of more pro-organizational goals. © 2018 Elsevier Inc.",Abusive supervision; Counterproductive behavior; Empathy; Instrumentality,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053138652&doi=10.1016%2fj.leaqua.2018.09.002&partnerID=40&md5=25a64ab91735931328e3e24568b3f758
1278,"Stoker J.I., Garretsen H., Soudis D.",Tightening the leash after a threat: A multi-level event study on leadership behavior following the financial crisis,Leadership Quarterly,2019,"This paper presents the results of a multi-level event study of the effects of the 2008 financial crisis on leadership behavior. Following assumptions from the threat-rigidity hypothesis, we expect that across firms and countries, this crisis led to an increase in directive leadership. In line with this hypothesis, we also anticipate that this change is context-specific. The impact of the 2008 financial crisis on the change in directive leadership is analyzed for over 20,000 managers in 980 organizations across 36 countries. We find that the financial crisis went along with a significant increase in directive leadership, and that this effect was stronger in the manufacturing sector, and in countries with a high degree of power distance. Our results support the threat-rigidity hypothesis, and contribute to leadership research by showing that the context is not only a moderator but actually shapes leadership behavior. This opens up a new avenue of leadership research where context is an antecedent of leadership behavior more generally, and where the methodological set-up allows for causal inference. © 2018 Elsevier Inc.",Directive leadership; Event study; Financial crisis; Multi-level analysis; Threat-rigidity hypothesis,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053111229&doi=10.1016%2fj.leaqua.2018.08.004&partnerID=40&md5=acb133ff6b9d9b9b0101e59df19f9f97
1277,"Schock A.-K., Gruber F.M., Scherndl T., Ortner T.M.",Tempering agency with communion increases women's leadership emergence in all-women groups: Evidence for role congruity theory in a field setting,Leadership Quarterly,2019,"Which characteristics predict leadership emergence in women after they work on group tasks in all-women groups? Role congruity theory suggests that women need to temper their agency with communion in order to emerge as leaders. We investigated how ascriptions of agentic and communal characteristics were related to leadership emergence by analyzing data collected from women's leadership contests in 2 consecutive years. Participants worked in groups on assessment-center-like tasks (Study 1: N = 184). After each task, they identified individuals with leadership potential and described these individuals' characteristics. Raters categorized these characteristics as agentic or communal. Response surface analyses showed curvilinear effects of perceived agency and perceived communion on leadership emergence, indicating that women who tempered their agency with communion were most likely to emerge as leaders. Analyses were replicated in a second data set (Study 2: N = 185) with similar results. © 2018 Elsevier Inc.",Leadership emergence; Leadership potential; Role congruity theory; Women leaders,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053018148&doi=10.1016%2fj.leaqua.2018.08.003&partnerID=40&md5=cc12ea0eeea1d1b43f30b5cf090d5f71
1273,"Pitelis C.N., Wagner J.D.",Strategic Shared Leadership and Organizational Dynamic Capabilities,Leadership Quarterly,2019,"We propose that the purposeful sharing of strategic decisions and the process of making and taking those between the dominant coalition of an organization (Strategic Shared Leadership or SSL thereafter), initiated and supported by a focal strategic leader or small team, engenders Organizational Dynamic Capabilities (ODCs) though the transfer of individually-residing DCs within the SSL team, the transformation -co-creation of novel ones and their embeddedness-institutionalization within the organization. It also enhances organizational cognition which mediates the relationship by enriching co-created ODCs and their capacity to deliver reliably change through sensing, seizing and reconfiguring. Accordingly, SSL serves as a co-creator and key predictor of the emergence of ODCs. This helps address the challenges of DCs to marry stability with change, be predictable and to be capable of predicting. © 2018",Cognition; Organizational Dynamic Capabilities; Strategic Shared Leadership,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052131440&doi=10.1016%2fj.leaqua.2018.08.002&partnerID=40&md5=ea773920189059f599fb0d0edffa355f
1272,"Zhu J., Song L.J., Zhu L., Johnson R.E.",Visualizing the landscape and evolution of leadership research,Leadership Quarterly,2019,"Complementing prior quantitative and qualitative reviews of the leadership literature, we conduct a bibliometric analysis of leadership articles. Our bibliometric review provides a different perspective by portraying the landscape and developmental trajectory of leadership research over time via co-citation and co-occurrence analyses. Using a scientific visualization tool CiteSpace and 6528 leadership works collected from the Web of Science database from 1990 to 2017, we detect and visualize the landscape of leadership research and track how this landscape has evolved. After mapping the landscape, we discuss the insights gleaned from our bibliometric review, with a focus on open questions, future research directions, and implications. In doing so, our review provides readers with a systematic understanding of the development of the leadership field and a roadmap to spark leadership research and move this literature forward. © 2018 Elsevier Inc.",Bibliometric review; CiteSpace; Landscape; Leadership; Scientific visualization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051662809&doi=10.1016%2fj.leaqua.2018.06.003&partnerID=40&md5=24f4622e7617c9475bea2ce982b2db8a
1296,"Antonakis J., Banks G.C., Bastardoz N., Cole M.S., Day D.V., Eagly A.H., Epitropaki O., Foti R.R., Gardner W.L., Haslam S.A., Hogg M.A., Kark R., Lowe K.B., Podsakoff P.M., Spain S.M., Stoker J.I., Van Quaquebeke N., van Vugt M., Vera D., Weber R.",The Leadership Quarterly: State of the journal,Leadership Quarterly,2019,[No abstract available],,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060880719&doi=10.1016%2fj.leaqua.2019.01.001&partnerID=40&md5=203e0400d047d03fdf599b557ade4961
1294,Day D.V.,"The Leadership Quarterly Yearly Review: State-of-the-science reviews on leadership theory, methods, and measurement",Leadership Quarterly,2019,[No abstract available],,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060476993&doi=10.1016%2fj.leaqua.2019.01.002&partnerID=40&md5=f076b4e1c8f98a4bcf2802c9046a64fe
1291,"Hiller N.J., Sin H.-P., Ponnapalli A.R., Ozgen S.",Benevolence and authority as WEIRDly unfamiliar: A multi-language meta-analysis of paternalistic leadership behaviors from 152 studies,Leadership Quarterly,2019,"Based on a multi-language search, we qualitatively describe and meta-analytically summarize the growing but often ignored research literature on behaviors associated with paternalistic leadership (PL), a form of leadership that is considered to be acceptable and prevalent in many Non-WEIRD (Western, Educated, Industrialized, Rich, and Democratic) cultures. PL is conceptualized as the simultaneous enactment of two seemingly paradoxical leadership behaviors: 1) benevolence – the holistic and genuine care for followers’ well-being even outside the workplace, and 2) authority – non-exploitative use of behaviors that emphasize power and control based on status and hierarchy. Results from 165 independent samples from 152 studies (total N = 68,395) in fourteen countries demonstrate a consistently divergent pattern across the dimensions. Even in societies where PL is presumed to be more prevalent and acceptable, the strong control (authoritarianism) dimension is consistently negatively related to task performance, citizenship behaviors, creativity, attitudes towards the leader, and job attitudes. Conversely, the benevolence dimension demonstrates consistently positive relationships with leader effectiveness and follower performance, attitudes, and behaviors. The most commonly used measure of PL includes a morality dimension, which produces positive effects similar to the benevolence dimension. Collectively, PL dimensions (as well as a separate unitary measure of PL emphasizing benevolence) predict incremental variance beyond transformational leadership and beyond LMX. Based on conceptual and empirical grounds, it appears that PL (especially benevolence) is not fully captured in mainstream approaches to leadership and may add value to our understanding of the universe of ways leadership can be enacted. Several directions for future research are discussed, including the need to study the rarely-examined interactions between benevolence and authority, in line with the core of PL theory. © 2018 Elsevier Inc.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057808487&doi=10.1016%2fj.leaqua.2018.11.003&partnerID=40&md5=9556505d2cd487fca943ad88edb879a6
1288,"Podsakoff P.M., Podsakoff N.P.","Experimental designs in management and leadership research: Strengths, limitations, and recommendations for improving publishability",Leadership Quarterly,2019,"Despite the renewed interest in the use of experimental designs in the fields of leadership and management over the past few decades, these designs are still relatively underutilized. Although there are several potential reasons for this, chief among them is misunderstanding the value of these designs. The purpose of this article is to review the role of laboratory, field, and quasi-experimental designs in management and leadership research. We first discuss the primary goals of experimental studies. Next, we examine the characteristics of experimental designs and how to distinguish laboratory, field, and quasi-experiments from one another and from non-experimental studies. Following these discussions, we provide examples of each type of experimental design and discuss their relative strengths and limitations. Finally, we discuss steps that researchers can take to increase the probability of having articles reporting experiments accepted by leadership and management journals. © 2018 Elsevier Inc.",Causal inference; Experimental designs; Field experiments; Laboratory experiments; Quasi-experiments,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056609983&doi=10.1016%2fj.leaqua.2018.11.002&partnerID=40&md5=01c66126083ad2a3604751b64dd84ac7
